Project Name,State,Capacity (MW),Status,Latitude,Longitude
ADL-RayGen wind farm,New South Wales,653.0,shelved - inferred 2 y,-32.3715,150.9773
AGL Energy New South Wales wind farm,,450.0,announced,-32.1607,146.7984
AGL Energy Victoria wind farm,Victoria,550.0,announced,-37.2437,142.7248
Albany wind farm,Western Australia,22.0,operating,-35.0584,117.785
Albany wind farm,Western Australia,14.0,operating,-35.0487,117.7546
Alberton wind farm,Victoria,120.0,cancelled,-38.6271,146.6319
Alectown wind farm,New South Wales,120.0,cancelled,-32.8696,148.368
Allendale wind farm,South Australia,69.0,cancelled,-37.8247,140.782
Ambrosia wind farm,,600.0,announced,-33.593,116.636
Ararat wind farm,Victoria,240.0,operating,-37.2411,143.0429
Archer Point wind farm,Queensland,120.0,announced,-15.5768,145.3091
Archer Point wind farm,Queensland,120.0,announced,-15.5768,145.3091
Arrowsmith Hydrogen Project wind farm,Western Australia,75.0,announced,-29.2515,114.931
Asian Renewable Energy Hub wind farm,Western Australia,10220.0,pre-construction,-20.7836,121.9724
Asian Renewable Energy Hub wind farm,Western Australia,6132.0,pre-construction,-20.7836,121.9724
Aurora Green Offshore wind farm,Victoria,3000.0,announced,-38.6667,147.5
Australia Plain wind farm,South Australia,150.0,cancelled - inferred 4 y,-34.1741,139.0849
Australia-Asia PowerLink wind farm,Northern Territory,6000.0,announced,-12.4365,130.9263
Australia-Asia PowerLink wind farm,Northern Territory,6000.0,announced,-12.4365,130.9263
Australis SA wind farm,South Australia,600.0,announced,-36.7204,139.6835
Australis SA wind farm,South Australia,1000.0,announced,-36.7301,139.3193
Australis VIC Offshore wind farm,Victoria,495.0,shelved,-38.3461,141.3434
Australis VIC Offshore wind farm,Victoria,1600.0,shelved,-38.2734,141.0512
Australis WA wind farm,Western Australia,300.0,announced,-33.0206,115.6546
Australis WA wind farm,Western Australia,1600.0,announced,-33.0206,115.6546
Azure Offshore wind farm,Victoria,1000.0,cancelled,-38.8799,147.0503
Badgingarra wind farm,Western Australia,133.0,operating,-30.4146,115.3313
Bald Hills wind farm,Victoria,107.0,operating,-38.7636,145.9143
Baldon wind farm,,900.0,announced,-34.6852,144.1879
Banana Range wind farm,Queensland,230.0,pre-construction,-24.4368,150.329
Banana Range wind farm,Queensland,222.0,pre-construction,-24.4609,150.3657
Bango wind farm,New South Wales,244.0,operating,-34.5517,148.7322
Barcaldine Renewable Energy Zone wind farm,Queensland,80.0,pre-construction,-23.5335,145.2781
Barn Hill wind farm,South Australia,124.0,pre-construction,-33.584,138.1436
Barneys Reef wind farm,,440.0,announced,-32.2124,149.5268
Barwon Offshore wind farm,Victoria,1000.0,announced,-38.8003,142.4555
Bass (Brookvale) Offshore Wind Energy Project,Tasmania,360.0,announced,-39.3153,145.8468
Bass (Brookvale) Offshore Wind Energy Project,Tasmania,640.0,announced,-39.3153,145.8468
Bass Coast Offshore wind farm,Victoria,1000.0,cancelled,-39.1033,145.9321
Bass Coast Offshore wind farm,Victoria,1000.0,cancelled,-39.1033,145.9321
Bass Strait Offshore wind farm,Victoria,4000.0,shelved - inferred 2 y,-38.3882,142.2506
Bass Strait TasRex Offshore wind farm,Tasmania,3500.0,announced,-40.456,146.6863
Baynton wind farm,Victoria,50.0,cancelled - inferred 4 y,-37.8325,144.8395
Bell Bay wind farm,Tasmania,224.0,pre-construction,-41.0311,147.0214
Bellevue Gold Project wind farm,Western Australia,24.0,construction,-27.995,120.4978
Ben Lomond wind farm,New South Wales,150.0,cancelled,-30.0075,151.6839
Ben More wind farm,Victoria,80.0,cancelled,-37.2751,143.5143
Bendemeer Renewable Energy Hub wind farm,,360.0,announced,-30.9122,151.2096
Berrimal wind farm,Victoria,72.0,pre-construction,-36.0001,142.988
Berrybank wind farm,Victoria,181.0,operating,-37.9491,143.5302
Berrybank wind farm,Victoria,107.0,operating,-37.9491,143.5302
Biala wind farm,New South Wales,111.0,operating,-34.5877,149.3698
Black Springs wind farm,New South Wales,19.0,cancelled,-33.841,149.7101
Blackwarry wind farm,Victoria,20.0,cancelled - inferred 4 y,-38.413,146.617
Blayney wind farm,New South Wales,10.0,operating,-33.6199,149.1889
Blue Mackerel North wind farm,,1000.0,announced,-38.5,147.1667
Blue Marlin Offshore wind farm,Victoria,500.0,announced,-38.5497,147.2817
