Postcode,Type,Latitude,Longitude,Capacity_MW,State
2000,Solar,-33.86051951,151.2015802,1.3380999999999998,NSW
2000,Solar,-33.859953,151.256649,10.704799999999999,NSW
2009,Solar,-33.871222,151.193055,2.2626,NSW
2015,Solar,-33.910105,151.194825,6.9513,NSW
2016,Solar,-33.894912,151.206211,0.284,NSW
2018,Solar,-33.9233,151.202697,0.5,NSW
2019,Solar,-33.946923,151.207285,1.7416,NSW
2020,Solar,-33.936179,151.176775,3.4337999999999997,NSW
2026,Bioenergy,-33.891041,151.268968,7.075,NSW
2031,Solar,-33.914832,151.239167,0.38,NSW
2031,Solar,-33.9132,151.242,0.095,NSW
2033,Solar,-33.91139,151.218435,0.7416,NSW
2036,Bioenergy,-33.969624,151.237844,42.435,NSW
2036,Solar,-33.969624,151.237844,2.97,NSW
2044,Solar,-33.920698,151.17074,2.9699999999999998,NSW
2044,Solar,-33.9195,151.177,0.99,NSW
2048,Solar,-33.89418,151.16564,0.5016,NSW
2060,Solar,-33.839863,151.204557,1.9607,NSW
2064,Solar,-33.813209,151.183801,0.5304,NSW
2065,Solar,-33.828361,151.192212,2.31,NSW
2065,Solar,-33.8261,151.205,0.33,NSW
2066,Solar,-33.818641,151.160912,6.215999999999999,NSW
2067,Solar,-33.798378,151.17711,1.4232,NSW
2069,Solar,-33.780246,151.195368,0.7101,NSW
2073,Solar,-33.757296,151.130278,1.559,NSW
2076,Solar,-33.723263,151.108249,0.7186,NSW
2076,Solar,-33.6977144,151.1311234,0.3593,NSW
2077,Solar,-33.691922,151.097508,8.4292,NSW
2085,Bioenergy,-33.728782,151.211719,3.0,NSW
2086,Solar,-33.75185,151.229211,2.1148,NSW
2095,Bioenergy,-33.815482,151.294675,4.878,NSW
2095,Hydro,-33.815482,151.294675,4.2,NSW
2099,Solar,-33.748914,151.279999,0.9009,NSW
2100,Solar,-33.766409,151.257781,4.151,NSW
2102,Bioenergy,-33.694,151.301,0.249,NSW
2102,Bioenergy,-33.689941,151.290953,0.498,NSW
2111,Solar,-33.829953,151.124488,2.52,NSW
2112,Solar,-33.81658,151.108447,1.8918,NSW
2113,Solar,-33.79419,151.130233,5.4525,NSW
2114,Solar,-33.810991,151.084181,1.321,NSW
2116,Solar,-33.814368,151.036941,1.3909,NSW
2127,Solar,-33.85283,151.076186,0.6636,NSW
2127,Solar,-33.83966376,151.0689007,0.3318,NSW
2127,Solar,-33.82764565,151.0771675,0.3318,NSW
2128,Solar,-33.835928,151.047591,1.0973,NSW
